ID	NR_INWENT	NAZWA	REGION	GMINA	ROK_AKTUALIZACJI
682	G-1.15	Nocna Loża	Region Świętokrzyski	Kielce (gm. miejska)	2013
683	G-1.14	Jaskinia Wschodnia na Kadzielni	Region Świętokrzyski	Kielce (gm. miejska)	2013
684	G-1.16	Kominy I	Region Świętokrzyski	Kielce (gm. miejska)	2013
685	G-1.17	Schronisko z Koralami	Region Świętokrzyski	Kielce (gm. miejska)	2013
686	G-1.18	Schronisko w Rafie	Region Świętokrzyski	Kielce (gm. miejska)	2013
687	G-1.19	Kominy II	Region Świętokrzyski	Kielce (gm. miejska)	2013
688	G-1.20	Schronisko Mysie	Region Świętokrzyski	Kielce (gm. miejska)	2013
689	G-1.21	Piotrusiowa Jama	Region Świętokrzyski	Kielce (gm. miejska)	2013
690	G-1.22	Jaskinia Zawaliskowa	Region Świętokrzyski	Kielce (gm. miejska)	2013
691	G-1.23	Schronisko nad Zawaliskową	Region Świętokrzyski	Kielce (gm. miejska)	2013
692	G-1.24	Schronisko Nietoperza	Region Świętokrzyski	Kielce (gm. miejska)	2013
693	G-1.25	Komin Geologów	Region Świętokrzyski	Kielce (gm. miejska)	2013
694	G-1.26	Jaskinia Urwista na Kadzielni	Region Świętokrzyski	Kielce (gm. miejska)	2013
695	N-2.18	Polny Schron	Niecka Nidziańska	Pińczów (gm. miejsko-wiejska)	2013
696	N-2.19	Schronisko w Chotelku	Niecka Nidziańska	Busko-Zdrój (gm. miejsko-wiejska)	2013
697	N-2.20	Schronisko Niespodzianka w Wielkiej Górze	Niecka Nidziańska	Wiślica (gm. miejsko-wiejska)	2013
698	N-2.21	Tunel w Skorocicach	Niecka Nidziańska	Wiślica (gm. miejsko-wiejska)	2013
699	N-2.22	Schronisko przy Tunelu	Niecka Nidziańska	Wiślica (gm. miejsko-wiejska)	2013
700	N-2.23	Szczelina w Skorocicach	Niecka Nidziańska	Wiślica (gm. miejsko-wiejska)	2013
701	N-2.24	Szczelina Magdaleny	Niecka Nidziańska	Wiślica (gm. miejsko-wiejska)	2013
702	N-2.25	Schronisko w Zielonej Górze	Niecka Nidziańska	Wiślica (gm. miejsko-wiejska)	2013
703	N-2.26	Jaskinia z Potokiem	Niecka Nidziańska	Wiślica (gm. miejsko-wiejska)	2013
704	N-2.30	Schronisko Ptaszników	Niecka Nidziańska	Wiślica (gm. miejsko-wiejska)	2013
710	N-2.14	Schronisko ze Studnią	Niecka Nidziańska	Wiślica (gm. miejsko-wiejska)	2013
711	N-2.15	Jaskinia w Skotnikach Górnych	Niecka Nidziańska	Wiślica (gm. miejsko-wiejska)	2013
712	N-2.16	Schronisko w Skotnikach Dolnych	Niecka Nidziańska	Pińczów (gm. miejsko-wiejska)	2013
713	N-2.27	Schronisko nad Jaskinią z Potokiem	Niecka Nidziańska	Wiślica (gm. miejsko-wiejska)	2013
714	N-2.28	Wielki Schron	Niecka Nidziańska	Wiślica (gm. miejsko-wiejska)	2013
715	N-2.29	Jaskinia Stara	Niecka Nidziańska	Wiślica (gm. miejsko-wiejska)	2013
716	N-2.40	Schronisko z Zaciskiem	Niecka Nidziańska	Wiślica (gm. miejsko-wiejska)	2013
717	N-2.41	Mały Tunel	Niecka Nidziańska	Wiślica (gm. miejsko-wiejska)	2013
718	N-2.42	Schronisko Trójkątne	Niecka Nidziańska	Wiślica (gm. miejsko-wiejska)	2013
719	N-2.50	Schronisko Marcina	Niecka Nidziańska	Wiślica (gm. miejsko-wiejska)	2013
720	N-9Ex	Jaskinia w Krzyżanowicach Dolna	Niecka Nidziańska	Pińczów (gm. miejsko-wiejska)	2013
721	N-2.57	Schronisko Piecowe	Niecka Nidziańska	Wiślica (gm. miejsko-wiejska)	2013
722	N-2.58	Dwie Studnie	Niecka Nidziańska	Busko-Zdrój (gm. miejsko-wiejska)	2013
723	N-2.59	Schronisko przy Dziupli	Niecka Nidziańska	Busko-Zdrój (gm. miejsko-wiejska)	2013
